ticker,sector,industry,market_cap,beta,pe_ratio,forward_pe,peg_ratio,price_to_book,profit_margin,debt_to_equity
AAPL,Technology,Consumer Electronics,4039405731840,1.107,36.486595,29.841238,,54.536163,0.26915002,152.411
MSFT,Technology,Software - Infrastructure,3597503823872,1.07,34.37358,25.84041,,9.909501,0.35707,33.154
GOOGL,Communication Services,Internet Content & Information,3663432253440,1.07,29.857847,27.03698,,9.442138,0.32233003,11.424
AMZN,Consumer Cyclical,Internet Retail,2424113201152,1.372,32.073547,28.90905,,6.55622,0.11063,43.405
NVDA,Technology,Semiconductors,4239786770432,2.284,43.103962,23.244019,,35.59689,0.53007,9.102
META,Communication Services,Internet Content & Information,1674764615680,1.273,29.413458,22.059814,,8.631462,0.30892,26.311
TSLA,Consumer Cyclical,Auto Manufacturers,1607601225728,1.878,333.3586,215.01746,,20.09186,0.05314,17.082
JPM,Financial Services,Banks - Diversified,860672950272,1.075,15.502724,14.777032,,2.5048616,0.347,
BAC,Financial Services,Banks - Diversified,401900961792,1.304,14.825136,12.440389,,1.4297383,0.29224002,
GS,Financial Services,Capital Markets,265274490880,1.348,17.792892,15.897447,,2.5179658,0.29073998,586.142
MS,Financial Services,Capital Markets,276102250496,1.215,17.739489,16.4267,,2.7461379,0.23606001,420.553
C,Financial Services,Banks - Diversified,207708520448,1.196,15.84691,11.45366,,1.0407808,0.19488001,
WFC,Financial Services,Banks - Diversified,293050810368,1.108,15.07084,13.190243,,1.7506794,0.26629,
XOM,Energy,Oil & Gas Integrated,496838836224,0.379,16.938953,16.21934,,1.8861878,0.091809995,15.672
CVX,Energy,Oil & Gas Integrated,297569124352,0.673,20.801409,19.556643,,1.5664376,0.06767,21.239
COP,Energy,Oil & Gas E&P,115189956608,0.328,13.026836,14.957058,,1.7554579,0.14445,36.169
SLB,Energy,Oil & Gas Equipment & Services,56963309568,0.732,14.836576,12.878059,,2.222028,0.10341,47.459
JNJ,Healthcare,Drug Manufacturers - General,501880258560,0.349,20.12657,18.053568,,6.322579,0.27259,57.766
PFE,Healthcare,Drug Manufacturers - General,142370127872,0.42,14.55814,8.314794,,1.5342199,0.15654999,66.531
UNH,Healthcare,Healthcare Plans,297241903104,0.432,17.090626,18.468563,,3.1037126,0.04042,75.734
ABBV,Healthcare,Drug Manufacturers - General,393808642048,0.349,170.09161,15.633595,,-149.04349,0.04004,
TMO,Healthcare,Diagnostics & Research,211294470144,0.902,32.470554,22.817047,,4.141555,0.15022,69.75
WMT,Consumer Defensive,Discount Stores,915522519040,0.641,40.150352,38.519985,,9.5262985,0.03259,66.747
HD,Consumer Cyclical,Home Improvement Retail,353396621312,1.051,24.21487,23.408613,,29.1525,0.087740004,544.586
MCD,Consumer Cyclical,Restaurants,228103651328,0.521,27.25064,24.172436,,-105.25189,0.3204,
NKE,Consumer Cyclical,Footwear & Accessories,97014349824,1.0,33.656406,27.674116,,6.893907,0.05426,80.099
BA,Industrials,Aerospace & Defense,163090251776,1.175,,89.055275,,-19.163599,-0.12197,
CAT,Industrials,Farm & Heavy Construction Machinery,265079422976,1.563,29.07657,25.322592,,12.818113,0.14339,201.046
GE,Industrials,Aerospace & Defense,319923945472,1.405,40.33289,41.86156,,16.916565,0.18344,115.246
